"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","504","","","","0"
"2006-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","554","","","","0"
"2006-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","896","","","","0"
"2006-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","632","","","","0"
"2007-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","542","","","","0"
"2007-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","652","","","","0"
"2007-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","755","","","","0"
"2007-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","581","","","","0"
"2008-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","600","","","","0"
"2008-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","732","","","","0"
"2008-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","828","","","","0"
"2008-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","491","","","","0"
"2009-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","498","","","","0"
"2009-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","629","","","","0"
"2009-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","778","","","","0"
"2009-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","483","","","","0"
"2010-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","458","","","","0"
"2010-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","695","","","","0"
"2010-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","766","","","","0"
"2010-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","478","","","","0"
"2011-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","470","","","","0"
"2011-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","572","","","","0"
"2011-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","597","","","","0"
"2011-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","497","","","","0"
"2012-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","551","","","","0"
"2012-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","707","","","","0"
"2012-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","529","","","","0"
"2012-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","549","","","","0"
"2013-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","411","","","","0"
"2013-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","752","","","","0"
"2013-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","693","","","","0"
"2013-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","671","","","","0"
"2014-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","632","","","","0"
"2014-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","783","","","","0"
"2014-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","691","","","","0"
"2014-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","564","","","","0"
"2015-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","601","","","","0"
"2015-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","831","","","","0"
"2015-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1067","","","","0"
"2015-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","921","","","","0"
"2016-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1872","","","","0"
"2016-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1622","","","","0"
"2016-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1127","","","","0"
"2016-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","890","","","","0"
"2017-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1138","","","","0"
"2017-04","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1211","","","","0"
"2017-07","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1155","","","","0"
"2017-10","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1012","","","","0"
"2018-01","Nova Scotia","2016A000212","Immigrants","Persons","249","units","0","v29850357","4.1","1348","","","","0"
