"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10271","","","","0"
"2006-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","11478","","","","0"
"2006-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","11025","","","","0"
"2006-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9322","","","","0"
"2007-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7973","","","","0"
"2007-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9499","","","","0"
"2007-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","12212","","","","0"
"2007-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9298","","","","0"
"2008-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10129","","","","0"
"2008-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","11592","","","","0"
"2008-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","12716","","","","0"
"2008-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9569","","","","0"
"2009-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9244","","","","0"
"2009-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10848","","","","0"
"2009-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","12118","","","","0"
"2009-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9237","","","","0"
"2010-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9631","","","","0"
"2010-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","12897","","","","0"
"2010-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","13512","","","","0"
"2010-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8155","","","","0"
"2011-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7614","","","","0"
"2011-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9671","","","","0"
"2011-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9882","","","","0"
"2011-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7620","","","","0"
"2012-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8656","","","","0"
"2012-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10079","","","","0"
"2012-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9031","","","","0"
"2012-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8469","","","","0"
"2013-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8107","","","","0"
"2013-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10128","","","","0"
"2013-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8936","","","","0"
"2013-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9042","","","","0"
"2014-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9564","","","","0"
"2014-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9936","","","","0"
"2014-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7988","","","","0"
"2014-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7682","","","","0"
"2015-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","6784","","","","0"
"2015-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","9219","","","","0"
"2015-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10897","","","","0"
"2015-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","8831","","","","0"
"2016-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","11766","","","","0"
"2016-04","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","11729","","","","0"
"2016-07","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","7820","","","","0"
"2016-10","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","6774","","","","0"
"2017-01","British Columbia","2016A000259","Immigrants","Persons","249","units","0","v29850392","11.1","10660","","","","0"
