"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","27365","","","","0"
"2006-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34912","","","","0"
"2006-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34179","","","","0"
"2006-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29443","","","","0"
"2007-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","22342","","","","0"
"2007-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29475","","","","0"
"2007-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","33294","","","","0"
"2007-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26221","","","","0"
"2008-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23531","","","","0"
"2008-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32004","","","","0"
"2008-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","31794","","","","0"
"2008-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23575","","","","0"
"2009-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","20966","","","","0"
"2009-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","29090","","","","0"
"2009-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","32982","","","","0"
"2009-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23838","","","","0"
"2010-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","24453","","","","0"
"2010-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","35313","","","","0"
"2010-07","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","34884","","","","0"
"2010-10","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","23474","","","","0"
"2011-01","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","19945","","","","0"
"2011-04","Ontario","2016A000235","Immigrants","Persons","249","units","0","v29850372","7.1","26716","","","","0"
