"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","479","","","","0"
"2006-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","698","","","","0"
"2006-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","698","","","","0"
"2006-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","851","","","","0"
"2007-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","656","","","","0"
"2007-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","891","","","","0"
"2007-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1115","","","","0"
"2007-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","854","","","","0"
"2008-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","972","","","","0"
"2008-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1350","","","","0"
"2008-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1203","","","","0"
"2008-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1310","","","","0"
"2009-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1300","","","","0"
"2009-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2115","","","","0"
"2009-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1999","","","","0"
"2009-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1476","","","","0"
"2010-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1545","","","","0"
"2010-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2184","","","","0"
"2010-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2283","","","","0"
"2010-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1603","","","","0"
"2011-01","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","1418","","","","0"
"2011-04","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2249","","","","0"
"2011-07","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2717","","","","0"
"2011-10","Saskatchewan","2016A000247","Immigrants","Persons","249","units","0","v29850382","9.1","2572","","","","0"
