"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9104","","","","0"
"2006-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","11421","","","","0"
"2006-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13940","","","","0"
"2006-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10217","","","","0"
"2007-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9362","","","","0"
"2007-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","11550","","","","0"
"2007-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13893","","","","0"
"2007-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10401","","","","0"
"2008-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9500","","","","0"
"2008-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","12071","","","","0"
"2008-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13595","","","","0"
"2008-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10038","","","","0"
"2009-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9392","","","","0"
"2009-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13486","","","","0"
"2009-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","14960","","","","0"
"2009-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","11662","","","","0"
"2010-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10851","","","","0"
"2010-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","14058","","","","0"
"2010-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","16512","","","","0"
"2010-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","12577","","","","0"
"2011-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10124","","","","0"
"2011-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","14198","","","","0"
"2011-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","15132","","","","0"
"2011-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","12270","","","","0"
"2012-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10927","","","","0"
"2012-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","15886","","","","0"
"2012-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","15274","","","","0"
"2012-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","12937","","","","0"
"2013-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","11695","","","","0"
"2013-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","16042","","","","0"
"2013-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13696","","","","0"
"2013-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10545","","","","0"
"2014-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","10603","","","","0"
"2014-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","16797","","","","0"
"2014-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","14852","","","","0"
"2014-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","7993","","","","0"
"2015-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9219","","","","0"
"2015-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13445","","","","0"
"2015-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13740","","","","0"
"2015-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","12626","","","","0"
"2016-01","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","13876","","","","0"
"2016-04","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","15166","","","","0"
"2016-07","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","14704","","","","0"
"2016-10","Quebec","2016A000224","Immigrants","Persons","249","units","0","v29850367","6.1","9496","","","","0"
