"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","322","","","","0"
"2006-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","457","","","","0"
"2006-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","470","","","","0"
"2006-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","397","","","","0"
"2007-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","374","","","","0"
"2007-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","375","","","","0"
"2007-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","497","","","","0"
"2007-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","397","","","","0"
"2008-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","460","","","","0"
"2008-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","443","","","","0"
"2008-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","610","","","","0"
"2008-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","343","","","","0"
"2009-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","378","","","","0"
"2009-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","588","","","","0"
"2009-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","602","","","","0"
"2009-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","346","","","","0"
"2010-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","425","","","","0"
"2010-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","555","","","","0"
"2010-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","717","","","","0"
"2010-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","428","","","","0"
"2011-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","377","","","","0"
"2011-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","464","","","","0"
"2011-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","511","","","","0"
"2011-10","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","615","","","","0"
"2012-01","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","554","","","","0"
"2012-04","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","574","","","","0"
"2012-07","New Brunswick","2016A000213","Immigrants","Persons","249","units","0","v29850362","5.1","592","","","","0"
