"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","4727","","","","0"
"2006-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5444","","","","0"
"2006-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5713","","","","0"
"2006-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","4833","","","","0"
"2007-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","4014","","","","0"
"2007-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5593","","","","0"
"2007-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","6171","","","","0"
"2007-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5088","","","","0"
"2008-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5352","","","","0"
"2008-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7198","","","","0"
"2008-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","6457","","","","0"
"2008-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5202","","","","0"
"2009-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5764","","","","0"
"2009-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7740","","","","0"
"2009-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7588","","","","0"
"2009-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5932","","","","0"
"2010-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","6765","","","","0"
"2010-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9732","","","","0"
"2010-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9485","","","","0"
"2010-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","6675","","","","0"
"2011-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5917","","","","0"
"2011-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8387","","","","0"
"2011-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8971","","","","0"
"2011-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7689","","","","0"
"2012-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7518","","","","0"
"2012-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10385","","","","0"
"2012-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9082","","","","0"
"2012-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9107","","","","0"
"2013-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8093","","","","0"
"2013-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10583","","","","0"
"2013-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9154","","","","0"
"2013-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8802","","","","0"
"2014-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10350","","","","0"
"2014-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12752","","","","0"
"2014-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10274","","","","0"
"2014-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9147","","","","0"
"2015-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8204","","","","0"
"2015-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","11971","","","","0"
"2015-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","14171","","","","0"
"2015-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12888","","","","0"
"2016-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","15373","","","","0"
"2016-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","15435","","","","0"
"2016-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10098","","","","0"
"2016-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8350","","","","0"
"2017-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","13387","","","","0"
"2017-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12291","","","","0"
"2017-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8449","","","","0"
"2017-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7993","","","","0"
"2018-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10619","","","","0"
"2018-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","11636","","","","0"
"2018-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10392","","","","0"
"2018-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9367","","","","0"
"2019-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8545","","","","0"
"2019-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12419","","","","0"
"2019-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12700","","","","0"
"2019-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","10053","","","","0"
"2020-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","8478","","","","0"
"2020-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","4263","","","","0"
"2020-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","4895","","","","0"
"2020-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","5334","","","","0"
"2021-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","6775","","","","0"
"2021-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","7018","","","","0"
"2021-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","11475","","","","0"
"2021-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","14123","","","","0"
"2022-01","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12707","","","","0"
"2022-04","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","14255","","","","0"
"2022-07","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","12640","","","","0"
"2022-10","Alberta","2016A000248","Immigrants","Persons","249","units","0","v29850387","10.1","9933","","","","0"
"2006-01","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","1250","","","","0"
"2006-04","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","789","","","","0"
"2006-07","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","135","","","","0"
"2006-10","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","1284","","","","0"
"2007-01","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","1144","","","","0"
"2007-04","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","719","","","","0"
"2007-07","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","1968","","","","0"
"2007-10","Alberta","2016A000248","Net emigration","Persons","249","units","0","v1566834797","10.6","1475","","","","0"
