"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"SERIES"
"id","label","description"
"V121763","V80691333","Conventional mortgage - 1-year"
"V121764","V80691335","Conventional mortgage - 5-year"
"V121769","V80691334","Conventional mortgage - 3-year"
"V121796","V80691311","Prime rate"

"OBSERVATIONS"
"date","V121763","V121764","V121769","V121796"
"2007-09-26","7.05","7.19","7.30","6.25"
"2007-10-03","7.05","7.19","7.30","6.25"
"2007-10-10","7.05","7.19","7.30","6.25"
"2007-10-17","7.25","7.44","7.40","6.25"
"2007-10-24","7.25","7.44","7.40","6.25"
"2007-10-31","7.25","7.44","7.40","6.25"
"2007-11-07","7.25","7.44","7.40","6.25"
"2007-11-14","7.20","7.39","7.35","6.25"
"2007-11-21","7.20","7.39","7.35","6.25"
"2007-11-28","7.20","7.39","7.35","6.25"
"2007-12-05","7.20","7.39","7.35","6.00"
"2007-12-12","7.20","7.39","7.35","6.00"
"2007-12-19","7.20","7.39","7.35","6.00"
"2007-12-26","7.35","7.54","7.55","6.00"
"2008-01-02","7.35","7.54","7.55","6.00"
"2008-01-09","7.35","7.54","7.55","6.00"
"2008-01-16","7.35","7.49","7.50","6.00"
"2008-01-23","7.35","7.49","7.50","5.75"
"2008-01-30","7.35","7.39","7.40","5.75"
"2008-02-06","7.35","7.39","7.40","5.75"
"2008-02-13","7.35","7.39","7.40","5.75"
"2008-02-20","7.25","7.29","7.30","5.75"
"2008-02-27","7.25","7.29","7.30","5.75"
"2008-03-05","7.25","7.29","7.30","5.25"
"2008-03-12","7.25","7.29","7.30","5.25"
"2008-03-19","7.25","7.29","7.30","5.25"
"2008-03-26","7.15","7.19","7.20","5.25"
"2008-04-02","7.15","7.19","7.20","5.25"
"2008-04-09","7.15","7.19","7.20","5.25"
"2008-04-16","6.95","6.99","7.00","5.25"
"2008-04-23","6.95","6.99","7.00","4.75"
"2008-04-30","6.95","6.99","7.00","4.75"
"2008-05-07","6.95","6.99","7.00","4.75"
"2008-05-14","6.95","6.99","7.00","4.75"
"2008-05-21","6.95","6.99","7.00","4.75"
"2008-05-28","6.15","6.65","6.15","4.75"
"2008-06-04","6.15","6.65","6.15","4.75"
"2008-06-11","6.15","6.65","6.15","4.75"
"2008-06-18","6.95","7.15","6.65","4.75"
"2008-06-25","6.95","7.15","6.65","4.75"
"2008-07-02","6.95","7.15","6.65","4.75"
"2008-07-09","6.95","7.15","6.65","4.75"
"2008-07-16","6.95","7.15","6.65","4.75"
"2008-07-23","6.95","7.15","6.65","4.75"
"2008-07-30","6.95","7.15","7.00","4.75"
"2008-08-06","6.95","7.15","7.00","4.75"
"2008-08-13","6.65","6.85","6.70","4.75"
"2008-08-20","6.65","6.85","6.70","4.75"
"2008-08-27","6.65","6.85","6.70","4.75"
"2008-09-03","6.65","6.85","6.70","4.75"
"2008-09-10","6.65","6.85","6.70","4.75"
"2008-09-17","6.65","6.85","6.70","4.75"
"2008-09-24","6.65","6.85","6.70","4.75"
"2008-10-01","6.35","7.20","7.05","4.75"
"2008-10-08","6.35","7.20","7.05","4.75"
"2008-10-15","6.35","7.20","7.05","4.25"
"2008-10-22","6.35","7.20","7.05","4.00"
"2008-10-29","6.35","7.20","7.05","4.00"
"2008-11-05","6.35","7.20","7.05","4.00"
"2008-11-12","6.35","7.20","7.05","4.00"
"2008-11-19","6.35","7.20","7.05","4.00"
"2008-11-26","6.35","7.20","7.05","4.00"
"2008-12-03","5.60","6.95","6.45","4.00"
"2008-12-10","5.60","6.95","6.45","3.50"
"2008-12-17","5.60","6.75","6.25","3.50"
"2008-12-24","5.60","6.75","6.25","3.50"
"2008-12-31","5.60","6.75","6.25","3.50"
"2009-01-07","5.60","6.75","6.25","3.50"
"2009-01-14","5.60","6.75","6.25","3.50"
"2009-01-21","5.00","5.79","5.75","3.00"
"2009-01-28","5.00","5.79","5.75","3.00"
"2009-02-04","5.00","5.79","5.15","3.00"
"2009-02-11","5.00","5.79","5.15","3.00"
"2009-02-18","5.00","5.79","5.15","3.00"
"2009-02-25","5.00","5.79","5.15","3.00"
"2009-03-04","5.00","5.79","5.15","2.50"
"2009-03-11","4.50","5.79","5.15","2.50"
"2009-03-18","4.50","5.79","5.15","2.50"
"2009-03-25","4.50","5.55","4.65","2.50"
"2009-04-01","4.50","5.55","4.65","2.50"
"2009-04-08","4.20","5.45","4.45","2.50"
"2009-04-15","4.20","5.45","4.45","2.50"
"2009-04-22","4.20","5.45","4.45","2.25"
"2009-04-29","3.90","5.25","4.15","2.25"
"2009-05-06","3.90","5.25","4.15","2.25"
"2009-05-13","3.90","5.25","4.15","2.25"
"2009-05-20","3.90","5.25","4.15","2.25"
"2009-05-27","3.90","5.25","4.15","2.25"
"2009-06-03","3.90","5.45","4.15","2.25"
"2009-06-10","3.90","5.45","4.15","2.25"
"2009-06-17","3.75","5.85","4.55","2.25"
"2009-06-24","3.75","5.85","4.55","2.25"
"2009-07-01","3.75","5.85","4.55","2.25"
"2009-07-08","3.75","5.85","4.55","2.25"
"2009-07-15","3.75","5.85","4.55","2.25"
"2009-07-22","3.75","5.85","4.55","2.25"
"2009-07-29","3.75","5.85","4.55","2.25"
"2009-08-05","3.75","5.85","4.55","2.25"
"2009-08-12","3.75","5.85","4.55","2.25"
"2009-08-19","3.75","5.85","4.55","2.25"
"2009-08-26","3.75","5.85","4.55","2.25"
"2009-09-02","3.75","5.85","4.55","2.25"
"2009-09-09","3.75","5.49","4.45","2.25"
"2009-09-16","3.70","5.49","4.35","2.25"
"2009-09-23","3.70","5.49","4.35","2.25"
"2009-09-30","3.70","5.49","4.35","2.25"
"2009-10-07","3.70","5.49","4.35","2.25"
"2009-10-14","3.80","5.84","4.45","2.25"
"2009-10-21","3.80","5.84","4.45","2.25"
"2009-10-28","3.80","5.84","4.45","2.25"
"2009-11-04","3.80","5.84","4.45","2.25"
"2009-11-11","3.80","5.84","4.45","2.25"
"2009-11-18","3.80","5.84","4.45","2.25"
"2009-11-25","3.60","5.59","4.25","2.25"
"2009-12-02","3.60","5.59","4.25","2.25"
"2009-12-09","3.60","5.59","4.25","2.25"
"2009-12-16","3.60","5.49","4.25","2.25"
"2009-12-23","3.60","5.49","4.25","2.25"
