Province,Centre,Total
,Rivière-du-Loup,136
,Rivière-du-Loup,2
,Rivière-du-Loup,155
,Rouyn-Noranda,58
,Rouyn-Noranda,58
,Saint-Georges,190
,Saint-Georges,190
,Saint-Hyacinthe,446
,Saint-Hyacinthe,446
,Sept-Îles,29
,Sept-Îles,29
,Sorel-Tracy,16
,Sorel-Tracy,--
,Sorel-Tracy,210
,Sorel-Tracy,2
,Sorel-Tracy,228
,Thetford Mines,30
,Thetford Mines,30
,Val d'Or,68
,Val d'Or,68
,Salaberry-de-Valleyfield,125
,Salaberry-de-Valleyfield,125
,Victoriaville,17
,Victoriaville,363
,Victoriaville,380
,Total,"41,023"
,Hamilton,"1,294"
,Hamilton,"1,923"
,Hamilton,130
,Hamilton,"3,347"
,Kingston,7
,Kingston,475
,Kingston,81
,Kingston,68
,Kingston,631
,Kitchener,18
,Kitchener,920
,Kitchener,"1,453"
,Kitchener,570
,Kitchener,215
,Kitchener,"3,176"
,London,76
,London,384
,London,7
,London,100
,London,35
,London,119
,London,"2,066"
,London,"2,787"
,St. Catharines-Niagara,119
,St. Catharines-Niagara,56
,St. Catharines-Niagara,19
,St. Catharines-Niagara,81
,St. Catharines-Niagara,143
,St. Catharines-Niagara,54
,St. Catharines-Niagara,270
,St. Catharines-Niagara,183
,St. Catharines-Niagara,203
,St. Catharines-Niagara,135
,St. Catharines-Niagara,"1,263"
,Oshawa,"1,173"
,Oshawa,840
,Oshawa,570
,Oshawa,"2,583"
,Ottawa,181
,Ottawa,120
,Ottawa,"5,000"
,Ottawa,"5,301"
,Greater Sudbury,449
,Greater Sudbury,449
,Thunder Bay,11
,Thunder Bay,138
,Thunder Bay,19
,Thunder Bay,--
,Thunder Bay,2
,Thunder Bay,2
,Thunder Bay,9
,Thunder Bay,181
,Toronto,216
,Toronto,"1,853"
,Toronto,226
,Toronto,"1,800"
,Toronto,"3,750"
,Toronto,"2,668"
,Toronto,699
,Toronto,108
,Toronto,680
,Toronto,96
,Toronto,71
,Toronto,290
,Toronto,"12,420"
,Toronto,"4,980"
,Toronto,"4,673"
,Toronto,95
,Toronto,45
,Toronto,50
,Toronto,"1,315"
,Toronto,"1,155"
,Toronto,499
,Toronto,354
,Toronto,78
,Toronto,"38,121"
,Windsor,72
,Windsor,84
,Windsor,554
,Windsor,7
,Windsor,234
,Windsor,951
,Barrie,104
,Barrie,152
,Barrie,982
,Barrie,"1,238"
,Belleville,207
,Belleville,145
,Belleville,352
,Brantford,486
,Brantford,486
,Chatham-Kent,181
,Chatham-Kent,181
,Cornwall,47
,Cornwall,99
,Cornwall,146
,Guelph,825
,Guelph,91
,Guelph,916
,Kawartha Lakes,300
,Kawartha Lakes,300
,Norfolk,386
,Norfolk,386
,North Bay,7
,North Bay,29
,North Bay,87
,North Bay,39
,North Bay,162
,Peterborough,25
,Peterborough,390
,Peterborough,95
,Peterborough,36
,Peterborough,546
,Sarnia,31
,Sarnia,136
,Sarnia,2
,Sarnia,169
,Sault Sainte-Marie,1
,Sault Sainte-Marie,1
,Sault Sainte-Marie,100
,Sault Sainte-Marie,2
,Sault Sainte-Marie,104
,Bracebridge,63
,Bracebridge,63
,Brant,191
,Brant,191
,Trent Hills,65
,Trent Hills,65
,Erin,41
,Erin,41
,Haldimand,201
,Haldimand,201
,Gravenhurst,106
,Gravenhurst,106
,Greater Napanee,47
,Greater Napanee,47
,Hunstville,146
,Hunstville,146
,Ingersoll,65
,Ingersoll,65
,Lambton Shores,55
,Lambton Shores,55
,Georgian Highlands,46
,Georgian Highlands,46
,Mississippi Mills,77
,Mississippi Mills,77
,North Perth,60
,North Perth,60
,Prince Edward,107
,Prince Edward,107
,Saugeen Shores,107
,Saugeen Shores,107
,South Huron,39
,South Huron,39
,Wasaga Beach,462
,Wasaga Beach,462
,West Nipissing,61
,West Nipissing,61
,Brockville,21
,Brockville,31
,Brockville,40
,Brockville,6
,Brockville,9
,Brockville,107
,Cobourg,159
,Cobourg,159
,Collingwood,238
,Collingwood,238
,Elliot Lake,8
,Elliot Lake,8
,Temiskaming Shores,1
,Temiskaming Shores,1
,Temiskaming Shores,23
,Temiskaming Shores,1
