Province,Centre,Total
Que/Qc,Montréal,103
Que/Qc,Montréal,84
Que/Qc,Montréal,152
Que/Qc,Montréal,32
Que/Qc,Montréal,185
Que/Qc,Montréal,114
Que/Qc,Montréal,8
Que/Qc,Montréal,720
Que/Qc,Montréal,24
Que/Qc,Montréal,220
Que/Qc,Montréal,46
Que/Qc,Montréal,"1,025"
Que/Qc,Montréal,79
Que/Qc,Montréal,188
Que/Qc,Montréal,52
Que/Qc,Montréal,119
Que/Qc,Montréal,666
Que/Qc,Montréal,11
Que/Qc,Montréal,342
Que/Qc,Montréal,"1,123"
Que/Qc,Montréal,706
Que/Qc,Montréal,"2,799"
Que/Qc,Montréal,20
Que/Qc,Montréal,"7,180"
Que/Qc,Montréal,126
Que/Qc,Montréal,--
Que/Qc,Montréal,101
Que/Qc,Montréal,7
Que/Qc,Montréal,15
Que/Qc,Montréal,91
Que/Qc,Montréal,--
Que/Qc,Montréal,195
Que/Qc,Montréal,50
Que/Qc,Montréal,36
Que/Qc,Montréal,8
Que/Qc,Montréal,8
Que/Qc,Montréal,1
Que/Qc,Montréal,463
Que/Qc,Montréal,--
Que/Qc,Montréal,123
Que/Qc,Montréal,228
Que/Qc,Montréal,373
Que/Qc,Montréal,87
Que/Qc,Montréal,63
Que/Qc,Montréal,70
Que/Qc,Montréal,4
Que/Qc,Montréal,103
Que/Qc,Montréal,261
Que/Qc,Montréal,3
Que/Qc,Montréal,29
Que/Qc,Montréal,3
Que/Qc,Montréal,37
Que/Qc,Montréal,49
Que/Qc,Montréal,64
Que/Qc,Montréal,299
Que/Qc,Montréal,2
Que/Qc,Montréal,701
Que/Qc,Montréal,56
Que/Qc,Montréal,1
Que/Qc,Montréal,23
Que/Qc,Montréal,191
Que/Qc,Montréal,330
Que/Qc,Montréal,16
Que/Qc,Montréal,339
Que/Qc,Montréal,25
Que/Qc,Montréal,88
Que/Qc,Montréal,19
Que/Qc,Montréal,9
Que/Qc,Montréal,4
Que/Qc,Montréal,400
Que/Qc,Montréal,598
Que/Qc,Montréal,21
Que/Qc,Montréal,6
Que/Qc,Montréal,210
Que/Qc,Montréal,140
Que/Qc,Montréal,569
Que/Qc,Montréal,235
Que/Qc,Montréal,737
Que/Qc,Montréal,48
Que/Qc,Montréal,"24,143"
Que/Qc,Gatineau,"2,467"
Que/Qc,Gatineau,124
Que/Qc,Gatineau,130
Que/Qc,Gatineau,37
Que/Qc,Gatineau,45
Que/Qc,Gatineau,95
Que/Qc,Gatineau,"2,898"
Que/Qc,Québec,3
Que/Qc,Québec,5
Que/Qc,Québec,2
Que/Qc,Québec,8
Que/Qc,Québec,10
Que/Qc,Québec,4
Que/Qc,Québec,10
Que/Qc,Québec,56
Que/Qc,Québec,44
Que/Qc,Québec,101
Que/Qc,Québec,93
Que/Qc,Québec,40
Que/Qc,Québec,6
Que/Qc,Québec,65
Que/Qc,Québec,34
Que/Qc,Québec,--
Que/Qc,Québec,74
Que/Qc,Québec,81
Que/Qc,Québec,69
Que/Qc,Québec,--
Que/Qc,Québec,"3,686"
Que/Qc,Québec,168
Que/Qc,Québec,112
Que/Qc,Québec,"1,206"
Que/Qc,Québec,45
Que/Qc,Québec,"5,922"
Que/Qc,Sherbrooke,18
Que/Qc,Sherbrooke,9
Que/Qc,Sherbrooke,43
Que/Qc,Sherbrooke,937
Que/Qc,Sherbrooke,6
