"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","43100","B","","","0"
"2007","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","44400","B","","","0"
"2008","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","45800","B","","","0"
"2009","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","44500","B","","","0"
"2010","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","44800","B","","","0"
"2011","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","46200","B","","","0"
"2012","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","44900","B","","","0"
"2013","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","46300","A","","","0"
"2014","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","47200","B","","","0"
"2015","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","48500","B","","","0"
"2016","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","45100","B","","","0"
"2017","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","46000","B","","","0"
"2018","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","46800","B","","","0"
"2019","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","46400","B","","","0"
"2020","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","44700","B","","","0"
"2021","New Brunswick","2016A000213","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413051","6.4.1","49600","B","","","0"
"2006","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","58000","A","","","0"
"2007","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","61100","B","","","0"
"2008","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","65200","B","","","0"
"2009","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","64100","B","","","0"
"2010","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","66600","B","","","0"
"2011","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","64800","B","","","0"
"2012","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","66200","B","","","0"
"2013","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","67100","B","","","0"
"2014","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","70700","B","","","0"
"2015","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","71000","B","","","0"
"2016","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","66600","B","","","0"
"2017","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","67900","B","","","0"
"2018","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","68800","B","","","0"
"2019","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","70000","B","","","0"
"2020","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","72300","B","","","0"
"2021","New Brunswick","2016A000213","Median market income","Economic families","2021 constant dollars","429","units","0","v96413052","6.4.2","73100","B","","","0"
"2006","New Brunswick","2016A000213","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96413064","6.4.14","16300","E","","","0"
"2007","New Brunswick","2016A000213","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96413064","6.4.14","19200","D","","","0"
"2008","New Brunswick","2016A000213","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96413064","6.4.14","17400","E","","","0"
