"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47200","A","","","0"
"2007","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47000","B","","","0"
"2008","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47100","A","","","0"
"2009","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","46900","A","","","0"
"2010","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47600","A","","","0"
"2011","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47400","A","","","0"
"2012","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","48600","A","","","0"
"2013","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","47900","A","","","0"
"2014","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","49200","B","","","0"
"2015","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","48200","A","","","0"
"2016","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","48900","A","","","0"
"2017","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","49500","B","","","0"
"2018","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","49700","A","","","0"
"2019","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","51700","A","","","0"
"2020","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","49100","A","","","0"
"2021","Quebec","2016A000224","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413291","7.4.1","54400","A","","","0"
"2006","Quebec","2016A000224","Median market income","Economic families","2021 constant dollars","429","units","0","v96413292","7.4.2","68400","A","","","0"
"2007","Quebec","2016A000224","Median market income","Economic families","2021 constant dollars","429","units","0","v96413292","7.4.2","67200","B","","","0"
"2008","Quebec","2016A000224","Median market income","Economic families","2021 constant dollars","429","units","0","v96413292","7.4.2","68400","B","","","0"
"2009","Quebec","2016A000224","Median market income","Economic families","2021 constant dollars","429","units","0","v96413292","7.4.2","70300","B","","","0"
"2010","Quebec","2016A000224","Median market income","Economic families","2021 constant dollars","429","units","0","v96413292","7.4.2","69600","A","","","0"
