"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","30800","C","","","0"
"2014","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","31200","D","","","0"
"2015","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","34500","C","","","0"
"2016","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","28500","C","","","0"
"2017","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","26500","C","","","0"
"2018","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","27400","C","","","0"
"2019","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","27000","C","","","0"
"2020","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","21900","D","","","0"
"2021","Saskatchewan","2016A000247","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414264","11.4.14","26800","C","","","0"
"2006","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3700","D","","","0"
"2007","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3800","C","","","0"
"2008","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3800","D","","","0"
"2009","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","4500","D","","","0"
"2010","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","4700","D","","","0"
"2011","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","4500","D","","","0"
"2012","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3400","D","","","0"
"2013","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3600","D","","","0"
"2014","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","3700","D","","","0"
"2015","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","4900","C","","","0"
"2016","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","6500","C","","","0"
"2017","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","7100","B","","","0"
"2018","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","7700","C","","","0"
"2019","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","7900","C","","","0"
"2020","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","17300","A","","","0"
"2021","Saskatchewan","2016A000247","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414291","11.6.1","11700","C","","","0"
"2006","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","4100","D","","","0"
"2007","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","4400","D","","","0"
"2008","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","3900","D","","","0"
"2009","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","4900","D","","","0"
"2010","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","5000","C","","","0"
"2011","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","5500","D","","","0"
"2012","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","4800","C","","","0"
"2013","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","4400","D","","","0"
"2014","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","5300","D","","","0"
"2015","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","6000","C","","","0"
"2016","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","7400","C","","","0"
"2017","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","8200","C","","","0"
"2018","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","8500","C","","","0"
"2019","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","10100","C","","","0"
"2020","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","19600","B","","","0"
"2021","Saskatchewan","2016A000247","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414292","11.6.2","13200","B","","","0"
"2006","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2007","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2008","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2009","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2010","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2011","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2012","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","1000","E","","","0"
"2013","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2014","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","1300","E","","","0"
"2015","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","700","E","","","0"
"2016","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2017","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2018","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","","F","","","0"
"2019","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","2400","E","","","0"
"2020","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","13900","C","","","0"
"2021","Saskatchewan","2016A000247","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414304","11.6.14","7800","E","","","0"
"2006","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","60000","A","","","0"
"2007","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","63100","A","","","0"
"2008","Saskatchewan","2016A000247","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414331","11.8.1","66000","B","","","0"
