"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","44500","A","","","0"
"2007","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","45400","A","","","0"
"2008","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","45400","A","","","0"
"2009","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","44700","A","","","0"
"2010","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","44900","A","","","0"
"2011","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","46600","A","","","0"
"2012","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","46700","A","","","0"
"2013","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","49200","A","","","0"
"2014","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","49700","A","","","0"
"2015","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","48500","A","","","0"
"2016","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","47100","A","","","0"
"2017","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","46800","A","","","0"
"2018","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","47200","A","","","0"
"2019","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","47100","A","","","0"
"2020","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","46200","A","","","0"
"2021","Atlantic provinces","2016A00011","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412091","2.4.1","49800","A","","","0"
"2006","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","60800","A","","","0"
"2007","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","62800","A","","","0"
"2008","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","63900","A","","","0"
"2009","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","62900","A","","","0"
"2010","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","64800","B","","","0"
"2011","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","67900","A","","","0"
"2012","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","67500","A","","","0"
"2013","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","70300","A","","","0"
"2014","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","73400","A","","","0"
"2015","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","73100","A","","","0"
"2016","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","70100","A","","","0"
"2017","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","70000","A","","","0"
"2018","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","70800","A","","","0"
"2019","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","72500","A","","","0"
"2020","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","72300","A","","","0"
"2021","Atlantic provinces","2016A00011","Median market income","Economic families","2021 constant dollars","429","units","0","v96412092","2.4.2","74500","A","","","0"
"2006","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","15400","D","","","0"
"2007","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","18000","C","","","0"
"2008","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","16500","D","","","0"
"2009","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","18600","C","","","0"
"2010","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","17300","D","","","0"
"2011","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","18900","C","","","0"
"2012","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","21000","C","","","0"
"2013","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","23000","C","","","0"
"2014","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","22100","C","","","0"
"2015","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","19100","C","","","0"
"2016","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","21200","C","","","0"
"2017","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","20500","C","","","0"
"2018","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","21000","C","","","0"
"2019","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","21900","C","","","0"
"2020","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","20500","C","","","0"
"2021","Atlantic provinces","2016A00011","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96412104","2.4.14","23700","C","","","0"
"2006","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","8400","B","","","0"
"2007","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","8800","B","","","0"
"2008","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","8800","C","","","0"
"2009","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","9800","B","","","0"
"2010","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","10300","B","","","0"
"2011","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","10500","B","","","0"
"2012","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","10000","B","","","0"
"2013","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","9900","B","","","0"
"2014","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","10000","B","","","0"
"2015","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","10700","B","","","0"
"2016","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","11200","B","","","0"
"2017","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","12500","A","","","0"
"2018","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","11500","B","","","0"
"2019","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","12200","B","","","0"
"2020","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","18100","A","","","0"
"2021","Atlantic provinces","2016A00011","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412131","2.6.1","15600","A","","","0"
"2006","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","10200","B","","","0"
"2007","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","9800","B","","","0"
"2008","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","9800","B","","","0"
"2009","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","11800","B","","","0"
"2010","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","11700","B","","","0"
"2011","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","11500","C","","","0"
"2012","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","11800","B","","","0"
"2013","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","12000","B","","","0"
"2014","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","11800","C","","","0"
"2015","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","13000","B","","","0"
"2016","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","14000","B","","","0"
"2017","Atlantic provinces","2016A00011","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96412132","2.6.2","15100","A","","","0"
