"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","50600","B","","","0"
"2007","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","53400","B","","","0"
"2008","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","56800","B","","","0"
"2009","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","55600","B","","","0"
"2010","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","54200","B","","","0"
"2011","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","54600","B","","","0"
"2012","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","56700","A","","","0"
"2013","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","59600","B","","","0"
"2014","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","58700","A","","","0"
"2015","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","59000","A","","","0"
"2016","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","58500","A","","","0"
"2017","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","59900","A","","","0"
"2018","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","59500","B","","","0"
"2019","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","57800","A","","","0"
"2020","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","54900","A","","","0"
"2021","Manitoba","2016A000246","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414011","10.4.1","58300","A","","","0"
"2006","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","74600","B","","","0"
"2007","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","76300","B","","","0"
"2008","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","77900","B","","","0"
"2009","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","80400","A","","","0"
"2010","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","83900","B","","","0"
"2011","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","81800","B","","","0"
"2012","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","82400","B","","","0"
"2013","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","84200","A","","","0"
"2014","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","82800","A","","","0"
"2015","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","81800","B","","","0"
"2016","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","82500","A","","","0"
"2017","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","88000","A","","","0"
"2018","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","85900","A","","","0"
"2019","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","80800","B","","","0"
"2020","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","81300","A","","","0"
"2021","Manitoba","2016A000246","Median market income","Economic families","2021 constant dollars","429","units","0","v96414012","10.4.2","84000","A","","","0"
"2006","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","22500","D","","","0"
"2007","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","22100","D","","","0"
"2008","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","27200","D","","","0"
"2009","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","25100","D","","","0"
"2010","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","23100","D","","","0"
"2011","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","27500","C","","","0"
"2012","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","25900","D","","","0"
"2013","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","29200","C","","","0"
"2014","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","30300","C","","","0"
"2015","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","29500","C","","","0"
"2016","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","29200","C","","","0"
"2017","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","27400","C","","","0"
"2018","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","29900","C","","","0"
"2019","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","28000","D","","","0"
"2020","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","26100","C","","","0"
"2021","Manitoba","2016A000246","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414024","10.4.14","28000","C","","","0"
"2006","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","3900","C","","","0"
"2007","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","4600","D","","","0"
"2008","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","4400","C","","","0"
"2009","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","5100","D","","","0"
"2010","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","5600","D","","","0"
"2011","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","4200","C","","","0"
"2012","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","4800","C","","","0"
"2013","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","5100","D","","","0"
"2014","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","5900","D","","","0"
"2015","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","7000","C","","","0"
"2016","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","7200","C","","","0"
"2017","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","7600","B","","","0"
"2018","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","7900","C","","","0"
"2019","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","8800","C","","","0"
"2020","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","16200","A","","","0"
"2021","Manitoba","2016A000246","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414051","10.6.1","12300","B","","","0"
"2006","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","4900","D","","","0"
"2007","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","5800","D","","","0"
"2008","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","5400","C","","","0"
"2009","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","6200","D","","","0"
"2010","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","5900","D","","","0"
"2011","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","5700","D","","","0"
"2012","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","5700","C","","","0"
"2013","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","6200","C","","","0"
"2014","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","6900","D","","","0"
"2015","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","7800","C","","","0"
"2016","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","8800","C","","","0"
"2017","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","9200","B","","","0"
"2018","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","9600","B","","","0"
"2019","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","10800","C","","","0"
"2020","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","19900","B","","","0"
"2021","Manitoba","2016A000246","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96414052","10.6.2","15400","C","","","0"
"2006","Manitoba","2016A000246","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96414064","10.6.14","1100","E","","","0"
