"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","72900","B","","","0"
"2007","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","75800","A","","","0"
"2008","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","80000","A","","","0"
"2009","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","77800","B","","","0"
"2010","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","74300","A","","","0"
"2011","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","75800","B","","","0"
"2012","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","82100","A","","","0"
"2013","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","83300","B","","","0"
"2014","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","89000","A","","","0"
"2015","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","86000","B","","","0"
"2016","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","80200","A","","","0"
"2017","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","77000","A","","","0"
"2018","Alberta","2016A000248","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414491","12.4.1","80200","A","","","0"
