"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","53300","C","","","0"
"2007","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","55100","C","","","0"
"2008","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","66300","C","","","0"
"2009","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","60800","D","","","0"
"2010","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","61400","C","","","0"
"2011","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","64600","C","","","0"
"2012","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","55400","C","","","0"
"2013","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","58800","D","","","0"
"2014","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","51000","D","","","0"
"2015","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","49600","C","","","0"
"2016","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","54200","C","","","0"
"2017","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","63400","C","","","0"
"2018","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","57100","C","","","0"
"2019","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","53500","C","","","0"
"2020","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","59200","C","","","0"
"2021","Québec, Quebec","2016S0503421","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414971","14.4.1","58500","C","","","0"
"2006","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","77300","C","","","0"
"2007","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","79200","B","","","0"
"2008","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","88800","C","","","0"
"2009","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","88700","C","","","0"
"2010","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","90400","B","","","0"
"2011","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","87900","C","","","0"
"2012","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","79900","C","","","0"
"2013","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","96800","C","","","0"
"2014","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","80300","C","","","0"
"2015","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","87300","D","","","0"
"2016","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","85500","C","","","0"
"2017","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","90200","B","","","0"
"2018","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","91500","B","","","0"
"2019","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","98200","C","","","0"
"2020","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","96000","B","","","0"
"2021","Québec, Quebec","2016S0503421","Median market income","Economic families","2021 constant dollars","429","units","0","v96414972","14.4.2","91000","C","","","0"
"2006","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","26000","D","","","0"
"2007","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","22900","D","","","0"
"2008","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","28300","D","","","0"
"2009","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","33200","D","","","0"
"2010","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","28400","D","","","0"
"2011","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","29400","E","","","0"
"2012","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","27600","E","","","0"
"2013","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","29600","D","","","0"
"2014","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","30000","D","","","0"
"2015","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","24700","D","","","0"
"2016","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","25100","D","","","0"
"2017","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","31100","D","","","0"
"2018","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","28600","D","","","0"
"2019","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","26100","D","","","0"
"2020","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","27100","D","","","0"
"2021","Québec, Quebec","2016S0503421","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96414984","14.4.14","30300","D","","","0"
"2006","Québec, Quebec","2016S0503421","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415011","14.6.1","5400","E","","","0"
"2007","Québec, Quebec","2016S0503421","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415011","14.6.1","6500","D","","","0"
