"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","49200","B","","","0"
"2007","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","48800","C","","","0"
"2008","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","47700","B","","","0"
"2009","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","46600","B","","","0"
"2010","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","48100","B","","","0"
"2011","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","48500","C","","","0"
"2012","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","50500","C","","","0"
"2013","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","48100","C","","","0"
"2014","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","54800","B","","","0"
"2015","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","49700","C","","","0"
"2016","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","50000","B","","","0"
"2017","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","51200","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","53100","B","","","0"
"2019","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","55400","C","","","0"
"2020","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","52100","B","","","0"
"2021","Montréal, Quebec","2016S0503462","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96415211","15.4.1","57900","B","","","0"
"2006","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","71400","B","","","0"
"2007","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","73200","C","","","0"
"2008","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","75300","C","","","0"
"2009","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","75600","B","","","0"
"2010","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","71300","C","","","0"
"2011","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","72100","C","","","0"
"2012","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","79700","B","","","0"
"2013","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","78600","C","","","0"
"2014","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","81200","B","","","0"
"2015","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","78100","B","","","0"
"2016","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","78800","C","","","0"
"2017","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","75600","B","","","0"
"2018","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","82500","B","","","0"
"2019","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","87700","B","","","0"
"2020","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","80900","B","","","0"
"2021","Montréal, Quebec","2016S0503462","Median market income","Economic families","2021 constant dollars","429","units","0","v96415212","15.4.2","90100","B","","","0"
"2006","Montréal, Quebec","2016S0503462","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96415224","15.4.14","22900","D","","","0"
"2007","Montréal, Quebec","2016S0503462","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96415224","15.4.14","25300","D","","","0"
