"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","44300","C","","","0"
"2007","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","45800","B","","","0"
"2008","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","49400","B","","","0"
"2009","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","45700","C","","","0"
"2010","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","47400","B","","","0"
"2011","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","46800","C","","","0"
"2012","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","48800","C","","","0"
"2013","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","46600","C","","","0"
"2014","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","48300","C","","","0"
"2015","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","46300","C","","","0"
"2016","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","45400","B","","","0"
"2017","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","45600","C","","","0"
"2018","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","46500","C","","","0"
"2019","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","48900","B","","","0"
"2020","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","46100","B","","","0"
"2021","Prince Edward Island","2016A000211","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412571","4.4.1","53000","B","","","0"
