"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47900","B","","","0"
"2007","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","48300","B","","","0"
"2008","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47200","B","","","0"
"2009","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","45800","B","","","0"
"2010","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","45700","B","","","0"
"2011","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47600","B","","","0"
"2012","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47800","B","","","0"
"2013","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","50200","B","","","0"
"2014","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","49300","B","","","0"
"2015","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47800","B","","","0"
"2016","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47300","B","","","0"
"2017","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47900","B","","","0"
"2018","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47100","B","","","0"
"2019","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47200","B","","","0"
"2020","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","47700","A","","","0"
"2021","Nova Scotia","2016A000212","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96412811","5.4.1","50700","B","","","0"
"2006","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","68400","B","","","0"
"2007","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","68900","B","","","0"
"2008","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","65500","B","","","0"
"2009","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","66300","B","","","0"
"2010","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","67500","B","","","0"
"2011","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","72500","B","","","0"
"2012","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","68900","B","","","0"
"2013","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","72700","B","","","0"
"2014","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","74400","B","","","0"
"2015","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","71100","B","","","0"
"2016","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","70800","B","","","0"
"2017","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","71700","A","","","0"
"2018","Nova Scotia","2016A000212","Median market income","Economic families","2021 constant dollars","429","units","0","v96412812","5.4.2","72000","B","","","0"
