"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","62800","A","","","0"
"2007","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","64000","A","","","0"
"2008","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","63600","A","","","0"
"2009","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","60700","A","","","0"
"2010","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","60500","B","","","0"
"2011","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","59000","A","","","0"
"2012","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","59200","A","","","0"
"2013","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","59300","A","","","0"
"2014","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","61300","B","","","0"
"2015","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","60700","B","","","0"
"2016","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","60800","A","","","0"
"2017","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","61600","A","","","0"
"2018","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","64800","A","","","0"
"2019","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","63300","A","","","0"
"2020","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","61500","A","","","0"
"2021","Ontario","2016A000235","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96413531","8.4.1","65900","A","","","0"
"2006","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","83900","A","","","0"
"2007","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","85400","A","","","0"
"2008","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","86200","A","","","0"
"2009","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","83300","A","","","0"
"2010","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","83800","A","","","0"
"2011","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","83900","A","","","0"
"2012","Ontario","2016A000235","Median market income","Economic families","2021 constant dollars","429","units","0","v96413532","8.4.2","86100","A","","","0"
