"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","55500","B","","","0"
"2007","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","57900","B","","","0"
"2008","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","59400","B","","","0"
"2009","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","54300","B","","","0"
"2010","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","53000","B","","","0"
"2011","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","52600","B","","","0"
"2012","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","54900","A","","","0"
"2013","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","58100","B","","","0"
"2014","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","55100","B","","","0"
"2015","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","54600","B","","","0"
"2016","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","55300","B","","","0"
"2017","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","59200","B","","","0"
"2018","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","57900","B","","","0"
"2019","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","59400","B","","","0"
"2020","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","58000","B","","","0"
"2021","British Columbia","2016A000259","Median market income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96414731","13.4.1","63200","A","","","0"
"2006","British Columbia","2016A000259","Median market income","Economic families","2021 constant dollars","429","units","0","v96414732","13.4.2","82300","B","","","0"
"2007","British Columbia","2016A000259","Median market income","Economic families","2021 constant dollars","429","units","0","v96414732","13.4.2","81400","A","","","0"
