"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","25400","B","","","0"
"2016","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","26400","B","","","0"
"2017","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","26800","B","","","0"
"2018","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","27100","B","","","0"
"2019","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","27700","B","","","0"
"2020","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","24700","B","","","0"
"2021","Canada","2016A000011124","Median market income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411864","1.4.14","30300","B","","","0"
"2006","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","4500","B","","","0"
"2007","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","4800","B","","","0"
"2008","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","4900","B","","","0"
"2009","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","6300","B","","","0"
"2010","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","6600","B","","","0"
"2011","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","6000","B","","","0"
"2012","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","6000","B","","","0"
"2013","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","5900","B","","","0"
"2014","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","6300","C","","","0"
"2015","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","7100","B","","","0"
"2016","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","8000","B","","","0"
"2017","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","8300","A","","","0"
"2018","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","7700","A","","","0"
"2019","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","8500","B","","","0"
"2020","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","17000","A","","","0"
"2021","Canada","2016A000011124","Median government transfers","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411891","1.6.1","13300","A","","","0"
"2006","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","6100","B","","","0"
"2007","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","6400","B","","","0"
"2008","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","6100","B","","","0"
"2009","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","7800","B","","","0"
"2010","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","8100","B","","","0"
"2011","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","7300","B","","","0"
"2012","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","7900","B","","","0"
"2013","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","8000","B","","","0"
"2014","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","8200","C","","","0"
"2015","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","9000","B","","","0"
"2016","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","9800","A","","","0"
"2017","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","10400","A","","","0"
"2018","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","9700","A","","","0"
"2019","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","10200","A","","","0"
"2020","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","21300","A","","","0"
"2021","Canada","2016A000011124","Median government transfers","Economic families","2021 constant dollars","429","units","0","v96411892","1.6.2","16700","A","","","0"
"2006","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","800","C","","","0"
"2007","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","900","C","","","0"
"2008","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","1100","D","","","0"
"2009","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2000","D","","","0"
"2010","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2100","D","","","0"
"2011","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2200","D","","","0"
"2012","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","1700","D","","","0"
"2013","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","1700","D","","","0"
"2014","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","1900","D","","","0"
"2015","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2000","D","","","0"
"2016","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","1900","D","","","0"
"2017","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2300","D","","","0"
"2018","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2100","D","","","0"
"2019","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","2900","D","","","0"
"2020","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","11600","B","","","0"
"2021","Canada","2016A000011124","Median government transfers","Persons not in an economic family","2021 constant dollars","429","units","0","v96411904","1.6.14","7500","C","","","0"
"2006","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","66200","A","","","0"
"2007","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","67400","A","","","0"
"2008","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","68300","A","","","0"
"2009","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","67100","A","","","0"
"2010","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","66700","A","","","0"
"2011","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","66600","A","","","0"
"2012","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","68600","A","","","0"
"2013","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","69000","A","","","0"
"2014","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","71200","A","","","0"
"2015","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","70700","A","","","0"
"2016","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","69900","A","","","0"
"2017","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","72000","A","","","0"
"2018","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","72500","A","","","0"
"2019","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","72800","A","","","0"
"2020","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","77900","A","","","0"
"2021","Canada","2016A000011124","Median total income","Economic families and persons not in an economic family","2021 constant dollars","429","units","0","v96411931","1.8.1","78200","A","","","0"
"2006","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","88400","A","","","0"
"2007","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","90600","A","","","0"
"2008","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","92300","A","","","0"
"2009","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","91100","A","","","0"
"2010","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","91500","A","","","0"
"2011","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","92500","A","","","0"
"2012","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","95800","A","","","0"
"2013","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","96100","A","","","0"
"2014","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","98800","A","","","0"
"2015","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","99500","A","","","0"
"2016","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","99000","A","","","0"
"2017","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","101100","A","","","0"
"2018","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","103800","A","","","0"
"2019","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","103400","A","","","0"
"2020","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","109900","A","","","0"
"2021","Canada","2016A000011124","Median total income","Economic families","2021 constant dollars","429","units","0","v96411932","1.8.2","110200","A","","","0"
"2006","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","31600","B","","","0"
"2007","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","32800","B","","","0"
"2008","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","33700","B","","","0"
"2009","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","34000","B","","","0"
"2010","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","34500","B","","","0"
"2011","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","32500","B","","","0"
"2012","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","34500","A","","","0"
"2013","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","35900","B","","","0"
"2014","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","36300","A","","","0"
"2015","Canada","2016A000011124","Median total income","Persons not in an economic family","2021 constant dollars","429","units","0","v96411944","1.8.14","34100","A","","","0"
